title,description,component
Throttle IPC Client/Server during bursts of requests or server slowdown,"I propose the following to avoid an IPC server being swarmed by too many requests and connections 1. Limit call queue length or limit the amount of memory used in the call queue. This can be done by including the size of a request in the header and storing unmarshaled requests in the call queue.  2. If the call queue is full or queue buffer is full, stop reading requests from sockets. So requests stay at the server's system buffer or at the client side and thus eventually throttle the client.  3. Limit the total number of connections. Do not accept new connections if the connection limit is exceeded. (Note: this solution is unfair to new connections.)  4. If receive out of memory exception, close the current connection.   ",ipc
[HOD] Make the information printed by allocate and info commands less verbose and clearer,"Currently hod prints the following information as part of the allocate command at an 'INFO' verbose level:  Service Registry started Torque job id Ringmaster .. HDFS UI at .. Mapred UI at ..  The ""service registry started"" line is misleading and isn't very useful. This should be removed. Torque job id is misleading in terminology because job id also clashes with Mapred ""job id"". The proposal is to make it something like 'cluster id' or something similar. Ringmaster information is useful for debugging, but not for regular users.  Similar changes should be made to the hod info command as well. The naming should be clear and consistent. There, we print all of the above information and in addition, also print the number of nodes as min,max. Because we don't really support the min,max number of nodes, we can remove that and probably print only the number of nodes allocated.  All information must continue to be printed at a higher verbosity level.  ",contrib/hod
HOD is trying to bring up task tracker on  port which is already in close_wait state,"While bringing up task tracker using random ports, HOD is not checking whether the port is in CLOSE_WAIT state. So when it starts task tracker, we will be getting an address bind error on that port. We can avoid this error if we check for CLOSE_WAIT state on that port before starting the tasktracker.  ",contrib/hod
[HOD] Create mapred system directory using a naming convention that will avoid clashes in multi-user shared cluster scenario.,"Currently, HOD generates the name of the mapredsystem directory using the name /mapredsystem/hostname-of-jobtracker.  In HADOOP-2899, we ran into a scenario where this naming convention could lead to problems in case dfs permissions are enabled. While the bug should ideally be addressed in Hadoop M/R, it will be better that HOD does not generate names that can potentially clash across runs. One way to solve the problem is to do what HOD already does for local log and temp directories - name it using username.torque-job-id, which is going to be pretty unique mostly.",contrib/hod
Unit test fails on Windows: org.apache.hadoop.fs.TestDU.testDU,Unit test fails on Windows: org.apache.hadoop.fs.TestDU.testDU  Here is the output from the test: org.apache.hadoop.fs.TestDU.testDU: junit.framework.AssertionFailedError: expected:<2048> but was:<4096>   org.apache.hadoop.fs.TestDU.testDU(TestDU.java:82)  The failure points to the new test code in TestDU.java that just went in as part of HADOOP-2845,fs
need regression tests for setting up cluster and running jobs with different users,"Currently, there is no regression tests for setting up cluster and running jobs with different users.  So, some bugs like HADOOP-2915 cannot be discovered in the regression tests.    HADOOP-2915 is due to some changes after the permission patches were committed.  This bug did not exist in earlier builds.  For example, build #378 (Jan 24, 2008), which is a build after the permission patches were committed, works fine.  The problem of HADOOP-2915 cannot be reproduced in build #378.  http://hudson.zones.apache.org/hudson/job/Hadoop-trunk/378/ ",test
"make {start,stop}-balancer.sh work even if hadoop-daemon.sh isn't in the PATH","The {start,stop}-balancer.sh scripts assume that hadoop-daemon.sh is in the PATH.  Added same boilerplate as other start/stop scripts to remove this assumption (attaching patch).",scripts
"Trash initialization generates ""deprecated filesystem name"" warning even if the name is correct.","HADOOP-1967 made it mandatory to prefix the value of ""fs.default.name"" with ""hdfs://"". # During name-node initialization the value of the ""fs.default.name"" is set to <host>:<port> without the prefix even if the original name was prefixed with ""hdfs://"". This makes the Trash constructor, which is called with the modified configuration print the following warning: {code} 08/03/03 17:29:36 WARN fs.FileSystem: ""<host>:<port>"" is a deprecated filesystem name. Use ""hdfs://<host>:<port>/"" instead. 08/03/03 17:29:36 WARN fs.FileSystem: ""<host>:<port>"" is a deprecated filesystem name. Use ""hdfs://<host>:<port>/"" instead. {code} The warning is printed twice because FileSystem.getDefaultUri() is called twice during new Trash() and then inside Trash.getEmptier(). # Other than that the name-node never checks the correctness of the ""fs.default.name"", which it should.  As a side note the Trash class should be rearranged IMO.  - The Trash.getEmtier() should be replaced by  {code}   static public Runnable getEmptier(Configuration conf) throws IOException {code} - Trash should have only one private constructor, the one that is called in Emtier.run(). - Then we can replace  {code} new Trash(conf).getEmptier() {code} with {code} Trash.getEmptier(conf) {code} in order to avoid unnecessary creation of the Trash object on the stack.","conf,fs"
HOD should generate hdfs://host:port on the client side configs.,"with Hadoop-1967,  if the fs.default.name is just host:port it prints out warnings when hadoop shell commands are run. Hod should change this to hdfs://host:port so that users do not see these warnings...",contrib/hod
some of the fs commands don't globPaths.,Some of the 'hadoop fs' commands don't globPaths. e.g:  {noformat} $ bin/hadoop fs -ls '/user/rangadi/2Gb-*' /user/rangadi/2Gb-1     <r 3>   808587264       2008-03-05 00:36        rw-r--r--       rangadi supergroup /user/rangadi/2Gb-2     <r 3>   812191744       2008-03-05 00:36        rw-r--r--       rangadi supergroup $ bin/hadoop fs -rm '/user/rangadi/2Gb-*' rm: cannot remove /user/rangadi/2Gb-*: No such file or directory. {noformat}  Mostly related to HADOOP-2063. I think all the commands that use {{DelayedExceptionThrowing}} are affected.,fs
Make the Hudson patch process an executable ant target,The automatic Hadoop patch testing does some fairly intricate processing.  It would be useful if this was exposed to the developers as an ant target.,test
redesigned plugin has missing functionality,"It is not possible to add a new Hadoop server to the list of servers in the Hadoop eclipse plugin.  In org/apache/hadoop/eclipse/servers/RunOnHadoopWizard.java, the private class variable ""createNewPage"" is never initialized (although it should be at line 97), and therefore clicking on ""Finish"" in the wizard results in a NullPointerException when this variable is accessed.  After fixing this in a local client, I had further problems connecting to a server using the SOCKS protocol.",contrib/eclipse-plugin
[HOD] Hod sometimes leaves behind temp directories related to ringmaster work-dirs.,None,contrib/hod
"[HOD] Hod should not check for the pkgs directory in gridservice-hdfs, if the external option is specified","If the gridservice-hdfs option is specified, the pkgs option is not used. So, it need not be validated.",contrib/hod
[HOD] Hod should redirect stderr and stdout of Hadoop daemons to assist debugging,"Copied from internal bug details from Koji:  ========================== Sometimes JobTracker/TaskTracker starts consuming 99% cpu and stops responding to 'jstack' call.  In those cases, usually it still responds to kill -QUIT signal which forces the jvm to dump the stack to stdout.    Please have the stdout of JT/TT redirected to a file.   Adding stderr.  If thread has an uncaught exception, it prints out to stderr and dies. ==========================",contrib/hod
"[HOD] HOD can print information in the info command in some logical order, rather than in a random order","From internal bug filed by Karam:  Current when we file hod info as -: hod -c ~/conf/hodrc -o ""info /a/b/c/clusterDir1""  Output is displayed as -: [         INFO - /a/b/c/clusterDir1         INFO - hdfs     http://foo.bar.com:55030         INFO - jobid    3553.foo1.bar.com         INFO - mapred   http://foo2.bar.com:52413         INFO - max      100         INFO - min      100         INFO - ring     http://foo3:54461/ ]   It would better if hod while displaying output preforms some logical grouping  e.g.  [         INFO - jobid    33553.foo1.bar.com         INFO - hdfs     http://foo2.bar.com:52413         INFO - mapred   http://foo.bar.com:55030 ]  ",contrib/hod
"[HOD] Hod should not check for the pkgs directory in gridservice-hdfs or mapred sections, if tarball is specified.","Ringmaster validates the pkgs path for gridservice-mapred and gridservice-hdfs section when tarball option is used and hodrc also contians pkgs path. This is not necessary, as it does not use the pkgs path.",contrib/hod
[HOD] Identifiers for map/reduce in the logs uploaded to the DFS,"Filed from an internal bug filed by Amar.  ======================================  On DFS we get the task logs which contain logs per node. If some one is interested in just MAP or REDUCE task logs, it becomes difficult to get it. If there are some identifiers for the task-log-types in the name or in the UI it will be a lot easier.  ",contrib/hod
Test utility no longer works in trunk,"Filebench no longer works in trunk, due to HADOOP-2391 performing a check for the existence of the output directory (it improperly sets it to the file location, which works due to URI.resolve semantics)",test
[HOD] Hod expects port info though external host is not mentioned.,"When external host is not specified in gridservice-mapred or hdfs sections, there is no point in HOD validating the port numbers or hostnames.",contrib/hod
[HOD] HOD fails to start if hodrc contains commented lines not beginning with a # or a ;,"for e.g. lines like ""  # testing"" or ""       ; testing"" in the hod configuration fail make hod fail to start.",contrib/hod
[HOD] hod temp-dir problems,"Filed from couple of related internal bugs from Karam: ====================================== - hod should validate directory provided for hod.temp-dir if exists then it must be a directory - If a tempdir path is specified with '~', it is not expanded as usual. - If there's a problem in creating a tempdir, hod exits with an error but does not deallocate the cluster.  ==================================================================================  ",contrib/hod
[HOD] Have a hod available command to replace checknodes,Easier for users to remember just one command.,contrib/hod
[HOD] Job logs which are fetched when a cluster is deallocated should have names corresponding to Hadoop jobs.,From internal bug from Arkady.. ============================= Map reduce jobs have names. The log files use mysterious names like jobfailures.jsp_jobid_job_200712150418_0001_kind_map_cause_failed.html They should use real job names so that users can find the logs they  need.,contrib/hod
Relative path for script option is not handled properly.,Ran hod as -: hod allocate -d cdir -n 5 -s scripts/hodscript.sh  hod throws following error -: [ CRITICAL - Invalid script file (--hod.script or -s) specified : scripts/hdp ]  It works for absolute path. hod should also handle relative path for script file ,contrib/hod
hod gives wrong exit code if provided invalid directory and invalid number of nodes.,Run hod as -: hod allocate -d invalid_cdir -n 3 (where invalid_cdir does not exist) or  hod allocate -d cdir -n -2 (or ab)  hod exit with exit code 1 (Configuration error) where it should exit with exit code 3 (Invalid operation arguments) ,contrib/hod
"When hodrc contains ""/"" as values for mapred-system-dir-root, hod behaves unexpectedly ","Ran hod with hodrc containing mapred-system-dir-root = /.  Allocation was successful but ringmaster command contains --hodring.mapred-system-dir-root with no value and hadoop-site.xml  on submssion node contains value for mapred.system.dir as ""user_name/mapredsystem/clusrer_id"" While hadoop-site.xml on Jobtracker contains value for mapred.system.dir like ""--hodring.pkgs/user_name/mapredsystem/cluser_id""  Here static dfs was used ",contrib/hod
Hod admin and user guide should elaborate more about setup when used with static dfs and dfs premissions on.,"Hod admin guide should also what all directory setups should done by admin before using hod with static dfs and dfs permissions on.  Hod user guide should talk about directories that could be setup inside home directories in DFS, so users are aware how they get created.",contrib/hod
Wrong class definition for hodlib/Hod/hod.py for Python < 2.5.1,"Running HOD with python 2.5 (<2.5.1) leads to the following error:   Traceback (most recent call last):   File ""hod"", line 47, in ?     from hodlib.Hod.hod import hodRunner   File ""/mnt/scratch/grid/hod/hod-trunk-421/hodlib/Hod/hod.py"", line 488     class hodHelp():                   ^ SyntaxError: invalid syntax  ",contrib/hod
SocketTimeoutException in unit tests," TestJobStatusPersistency failed and contained DataNode stacktraces similar to the following :  {noformat} 2008-03-07 21:27:00,410 ERROR dfs.DataNode (DataNode.java:run(976)) - 127.0.0.1:57790:DataXceiver: java.net.SocketTimeoutException: 0 millis  timeout while waiting for Unknown Addr (local: /127.0.0.1:57790) to be ready for read         at org.apache.hadoop.net.SocketIOWithTimeout.doIO(SocketIOWithTimeout.java:188)         at org.apache.hadoop.net.SocketInputStream.read(SocketInputStream.java:135)         at org.apache.hadoop.net.SocketInputStream.read(SocketInputStream.java:121)         at java.io.BufferedInputStream.fill(BufferedInputStream.java:218)         at java.io.BufferedInputStream.read(BufferedInputStream.java:237)         at java.io.DataInputStream.readInt(DataInputStream.java:370)         at org.apache.hadoop.dfs.DataNode$BlockReceiver.receiveBlock(DataNode.java:2434)         at org.apache.hadoop.dfs.DataNode$DataXceiver.writeBlock(DataNode.java:1170)         at org.apache.hadoop.dfs.DataNode$DataXceiver.run(DataNode.java:953)         at java.lang.Thread.run(Thread.java:619) {noformat}  This is mostly related to HADOOP-2346. The error is strange. socket.getRemoteSocketAddress() returned null implying this socket is not connected yet. But we have already read a few bytes from it!.  ",io
ipc unit tests fail due to connection errors,"ipc unit tests fail due to connection errors:  Failing tests: org.apache.hadoop.ipc.TestIPC.unknown org.apache.hadoop.ipc.TestIPCServerResponder.unknown org.apache.hadoop.ipc.TestRPC.testSlowRpc org.apache.hadoop.ipc.TestRPC.testCalls  Changes: # HADOOP-2346. Utilities to support timeout while writing to sockets. DFSClient and DataNode sockets have 10min write timeout. # HADOOP-2906. Add an OutputFormat capable of using keys, values, and config params to map records to different output files. # HADOOP-2756. NPE in DFSClient while closing DFSOutputStreams under load. # HADOOP-2934. The namenode was encountreing a NPE while loading leases from the fsimage. Fixed. # HADOOP-2925. Fix HOD to create mapred system directory using a naming convention that will avoid clashes in multi-user shared cluster scenario. # HADOOP-2911. Make the information printed by the HOD allocate and info commands less verbose and clearer. # HADOOP-2883. Write failures and data corruptions on HDFS files. The write timeout is back to what it was on 0.15 release. Also, the datnodes flushes the block file buffered output stream before sending a positive ack for the packet back to the client. # HADOOP-2861. INCOMPATIBLE CHANGE. Improve the user interface for the HOD commands. Command line structure has changed.  Error logs:  [junit] Running org.apache.hadoop.ipc.TestIPC     [junit] 2008-03-07 10:50:04,291 INFO  metrics.RpcMetrics (RpcMetrics.java:<init>(53)) - Initializing RPC Metrics with hostName=0, port=4785     [junit] 2008-03-07 10:50:04,354 INFO  ipc.Server (Server.java:run(443)) - IPC Server Responder: starting     [junit] 2008-03-07 10:50:04,369 INFO  ipc.Server (Server.java:run(303)) - IPC Server listener on 4785: starting     [junit] 2008-03-07 10:50:04,369 INFO  ipc.Server (Server.java:run(861)) - IPC Server handler 0 on 4785: starting     [junit] 2008-03-07 10:50:04,369 INFO  ipc.Server (Server.java:run(861)) - IPC Server handler 1 on 4785: starting     [junit] 2008-03-07 10:50:04,369 INFO  ipc.Server (Server.java:run(861)) - IPC Server handler 2 on 4785: starting     [junit] 2008-03-07 10:50:04,432 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 1 time(s).     [junit] 2008-03-07 10:50:04,432 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 1 time(s).     [junit] 2008-03-07 10:50:05,432 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 2 time(s).     [junit] 2008-03-07 10:50:05,432 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 2 time(s).     [junit] 2008-03-07 10:50:06,432 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 3 time(s).     [junit] 2008-03-07 10:50:06,432 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 3 time(s).     [junit] 2008-03-07 10:50:07,433 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 4 time(s).     [junit] 2008-03-07 10:50:07,433 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 4 time(s).     [junit] 2008-03-07 10:50:08,433 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 5 time(s).     [junit] 2008-03-07 10:50:08,433 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 5 time(s).     [junit] 2008-03-07 10:50:09,433 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 6 time(s).     [junit] 2008-03-07 10:50:09,433 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 6 time(s).     [junit] 2008-03-07 10:50:10,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 7 time(s).     [junit] 2008-03-07 10:50:10,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 7 time(s).     [junit] 2008-03-07 10:50:11,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 8 time(s).     [junit] 2008-03-07 10:50:11,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 8 time(s).     [junit] 2008-03-07 10:50:12,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 9 time(s).     [junit] 2008-03-07 10:50:12,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 9 time(s).     [junit] 2008-03-07 10:50:13,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 10 time(s).     [junit] 2008-03-07 10:50:13,434 INFO  ipc.Client (Client.java:setupIOstreams(177)) - Retrying connect to server: /0.0.0.0:4785. Already tried 10 time(s).     [junit] 2008-03-07 10:50:14,435 FATAL ipc.TestIPC (TestIPC.java:run(92)) - Caught: java.net.BindException: Cannot assign requested address: no further information     [junit] 2008-03-07 10:50:14,435 FATAL ipc.TestIPC (TestIPC.java:run(92)) - Caught: java.net.BindException: Cannot assign requested address: no further information  ",ipc
IPC server should not allocate a buffer for each request,Currently the IPC server allocates a buffer for each incoming request. The buffer is thrown away after the request is serialized. This leads to very inefficient heap utilization. It would be nicer if all requests from one connection could share a same common buffer since the ipc server has only one request is being read from a socket at a time.,ipc
[HOD] checknodes should look for free nodes without the jobs attribute,Modify the checknodes logic to compute number of available nodes by looking for the number of free nodes without a jobs attribute. This is more accurate than current computation.,contrib/hod
[HOD] local_fqdn() returns None when gethostbyname_ex doesnt return any FQDNs.,"For some reason (probably in our local DNS setup) gethostbyname_ex() does not return any fully qualified hostnames. This has never been an issue, everything has worked fully with the hostnames.  However, this causes HOD to fail, as local_fqn() in util.py returns None.   {noformat} Python 2.5.1 (r251:54863, Sep 21 2007, 16:05:06) [GCC 3.4.6 20060404 (Red Hat 3.4.6-3)] on linux2 Type ""help"", ""copyright"", ""credits"" or ""license"" for more information. >>> import socket, os >>> socket.gethostbyname_ex(os.uname()[1]) ('bohol', [], ['130.209.252.70']) >>> {noformat}  The solution is to fix local_fqdn in until.py, such that it falls back to the contents of the variable me if fqdn is still None.  Ta muchly.  Craig",contrib/hod
Distcp should have forrest documentation,We really should have a page on how to use distcp.,util
Trash not being deleted on time,"On one of our cluster, we set the Trash interval to 6 hrs.   However, sometimes the namenode doesn't delete the Trash dir on time.  -bash-3.00$ hadoop dfs -ls /Trash Found 3 items /Trash/0711201201       <dir>           2007-11-20 06:00 /Trash/0711201800       <dir>           2007-11-20 12:15 /Trash/Current  <dir>           2007-11-20 18:01  In our current setting, we're supposed to have only one 'current' and one previous snapshot.    Grepping shows that /Trash/0711201201 was not even touched. My guess is that 1800 - 1201 = 5 hrs 59min  < 6hrs.   ",fs
Sequential distributed upgrades.,The distributed upgrades were tested in the case of one distributed upgrade only. It turned out to be that current implementation of the framework does not support multiple upgrades. This feature is needed for the appends. See HADOOP-2656.,test
Specify which JAVA_HOME should be set,"Quickstart page (http://hadoop.apache.org/core/docs/current/quickstart.html) specifies that user should set JAVA_HOME under ""1."" of ""Required Software"".  But, it does not specify where this should be set.  My instinct (as would be the instinct of any un*x user) was to set this in his/her shell/profie/rcfile.  Please specify that this should be specified in conf/hadoop-env.sh.  Yes, this is clarified later under ""Download"", but is easy to miss, especially since the user will think that he/she had already set JAVA_HOME. ",documentation
add new logo to project site,HADOOP-2810 added a new logo for Core to the released documenation.  The same logo should also be used on the Core project web site.,documentation
FileSystems should track how many bytes are read and written,It would be nice if the file systems could track the number of bytes read and written for each class of FileSystem. Map/Reduce could then report these numbers back as counters to provide information about how much data is read and written.,fs
FileSystem cache key should be updated after a FileSystem object is created,"In FileSystem.get(uri, conf), it first creates a cache key from the uri and the conf and then lookups the corresponding FileSystem object in the cache.  If the object is not found, it initializes a FileSystem object and put it to the cache with the key.  However, during FileSystem creation, the conf might be modified.  In such case, the key should be updated before putting it to the cache.",fs
HOD allocate command does not accept '~',"hod allocate seems to throw error when I specify directory relative to my home [lohit@hod]$ hod allocate --hod.clusterdir=""~/clusterdir"" --hod.nodecount=5 error: bin/hod failed to start. error: invalid 'clusterdir' specified in section hod (--hod.clusterdir): ~/clusterdir error: 1 problem found. Check your command line options and/or your configuration file /hod/conf/hodrc",contrib/hod
HOD script command should take arguments,"hod script command take script as argument, the script itself does not take arguments. It would be good to have the ability to pass arguments to the script as well.",contrib/hod
ConcurrentModificationException from org.apache.hadoop.ipc.Server$Responder in JobTracker,I see lot of these in my JobTracker log  {noformat} WARN org.apache.hadoop.ipc.Server: Exception in Responder java.util.ConcurrentModificationException         at java.util.HashMap$HashIterator.nextEntry(HashMap.java:793)         at java.util.HashMap$KeyIterator.next(HashMap.java:827)         at java.util.Collections$UnmodifiableCollection$1.next(Collections.java:1010)         at org.apache.hadoop.ipc.Server$Responder.run(Server.java:475) {noformat},ipc
Distcp deleting target directory,I believe this happens when   1) src is a file and dst is a directory.  2) -update is set  % hadoop  distcp -p -update  hdfs://srcnn:9999/user/knoguchi/fileA    hdfs://dstnn:9999/user/knoguchi/dir    This will delete the hdfs://dstnn:9999/user/knoguchi/dir .  ,util
dfs -mv file to user home directory fails silently if the user home directory does not exist,"dfs -mv file to user home directory fails silently if the user home directory does not exist. This was working before. It will move the file if the user home directory exists.  Here is the sequence: 1. bin/hadoop dfs -lsr / /file1  <r 3>   0       2008-03-13 19:54        rw-r--r--       hadoopqa        supergroup  2. bin/hadoop dfs -mv /file1 file2  3. bin/hadoop dfs -lsr / /file1  <r 3>   0       2008-03-13 19:54        rw-r--r--       hadoopqa        supergroup  4. hadoop dfs -lsr / /file1  <r 3>   0       2008-03-13 19:54        rw-r--r--       hadoopqa        supergroup /user   <dir>           2008-03-13 20:07        rwxr-xr-x       hadoopqa        supergroup /user/hadoopqa  <dir>           2008-03-13 20:07        rwxr-xr-x       hadoopqa        supergroup /user/hadoopqa/file0    <r 3>   0       2008-03-13 20:07        rw-r--r--       hadoopqa        supergroup  5. bin/hadoop dfs -mv /file1 file2  6. bin/hadoop dfs -lsr / /user   <dir>           2008-03-13 20:07        rwxr-xr-x       hadoopqa        supergroup /user/hadoopqa  <dir>           2008-03-13 20:08        rwxr-xr-x       hadoopqa        supergroup /user/hadoopqa/file0    <r 3>   0       2008-03-13 20:07        rw-r--r--       hadoopqa        supergroup /user/hadoopqa/file2    <r 3>   0       2008-03-13 19:54        rw-r--r--       hadoopqa        supergroup  In step #2, it fails to move the file. In step #5, it moves the file as /user/hadoopqa directory exists.",fs
HOD Error message points to --hod.clusterdir when -d is used,"HOD Error message points to --hod.clusterdir when -d is used  When the clusterdir directory is not correctly specified using the -d option, HOD throws an error about the --hod.clusterdir  Here is the command: {quote}hod -c /perf info -d /doesnotexist{quote}  And the output: {quote}error: bin/hod failed to start. error: invalid 'clusterdir' specified in section hod (--hod.clusterdir): /doesnotexist error: 1 problem found. Check your command line options and/or your configuration file /perf{quote}",contrib/hod
Eclipse plugin fails to compile due to missing RPC.stopClient() method,HADOOP-2870 removed the RPC.stopClient() method which is called by org.apache.hadoop.eclipse.dfs.DFSLocationsRoot.,contrib/eclipse-plugin
"Nightly and Patch builds should include native, c++, and eclipse-contrib","The nightly build should build the native, c++ and eclipse plugin support:  ant -Dcompile.native=yes -Dcompile.c++=yes -Declipse.home=/path/to/eclipse clean package-libhdfs tar  The build machine will need to be setup with some libraries, etc. to make this possible.",build
[HOD] build file requires exact python version,"To run the HOD pyunit tests, the build file checks that an exact python version is present:  +      <condition property=""python.versionmatched""> +        <!--- Currently check for only 2.5.1 --> +        <equals arg1=""${hodtest.pythonVersion}"" arg2=""Python 2.5.1"" /> +      </condition>  This is too restrictive (we have 2.5.2 on our Solaris build machine).  I suggest that you don't check the python version and instead issue a warning message if the pyunit test fail stating that python 2.5.1 or great is required (and optionally showing them what version they tried to use).",build
ChecksumFileSystem needs to support the new delete method,"The method FileSystem.delete(path) has been deprecated in favor of the new method delete(path, recursive). Temporary files gets created in the MapReduce framework and when the time for deletion comes, they are deleted via delete(path, recursive). This doesn't delete the associated checksum files. This has a big impact when the FileSystem is the InMemoryFileSystem, where space is at a premium and wasting space here might hurt the performance of MapReduce jobs overall. One solution to this problem is to implement the method delete(path, recursive) in the ChecksumFileSystem but is there is a reason why it was left out as part of HADOOP-771?",fs
Quickstart link in homepage returns URL not found - http://hadoop.apache.org/core/docs/current/quickstart.html,"Clicking on the Quickstart link on the Core home page - http://hadoop.apache.org/core/docs/current/quickstart.html returns ""Page Not Displayed"".  The same page can be reached thru the ver 0.16 folder. http://hadoop.apache.org/core/docs/r0.16.1/quickstart.html  This seems to be a missing link  The directory current at - http://hadoop.apache.org/core/docs/current  has the text - ""link r0.16.1"" looks like the \current folder wasn't properly linked to \r0.16.1",documentation
InMemoryFileSystem.reserveSpaceWithChecksum does not look at failures while reserving space for the file in question,"The return statement code in InMemoryFileSystem.reserveSpaceWithCheckSum looks like {noformat}   return (mfs.reserveSpace(f, size) && mfs.reserveSpace(getChecksumFile(f), checksumSize)); {noformat}  This should be broken up to check for successful reserveSpace for each of the components. In some cases, we might reserve space for the first component and fail while doing the same for the second (checksum file). This will lead to wastage of space since we don't un-reserve the space we got for the first component. This usually won't happen due to the policy associated with creating a file in the InMemoryFileSystem (since the checksum component is usually very small) but still it should be fixed.",fs
Fix findBugs warnings in UpgradeUtilities.,There are 2 findBugs warning in UpgradeUtilities. - toString() applied to a String - not closing InputStream. ,test
Hudson needs to add src/test for checking javac warnings,I think src/test is not added in javac warnings checker.  HADOOP-3031 looks at warnings introduced. Hudson needs to add src/test for checking javac warnings,build
[HOD] Ringmaster does not automatically create log directory if it does not exist.,"In the hod configuration, if the directory specified in ringmaster.log-dir does not exist, verification fails, and ringmaster exits. In the code, it tries to create the log dir after the verification is through. The order is misplaced.  This problem can also occur if any parameter in the ringmaster configuration is invalid.",contrib/hod
Update the Javadoc in JobConf.getOutputPath to reflect the actual temporary path,The javadoc needs to be fixed to include the _temporary in the job's temp output path.,documentation
NNBench does not use the right configuration for the mapper,NNbench does not use the job configuration for getting property values in the Mapper. Therefore all the pre-configured property values do not get passed to the mapper.,test
hod -t option fails silently if the tarball specified does not exist.,None,contrib/hod
Stringifier,"Storing arbitrary objects in the configuration has been discussed before in HADOOP-449 and HADOOP-1873. Although enabling such functionality has the risk of encouraging people to put big binary objects in the configuration, for some use cases passing objects to tasks is absolutely necessary.   This issue will track the implementation of a Stringifier interface which stringifies and destringifies objects. Using this implementation, developers can store objects in the configuration and restore them later.   Any thoughts ?",io
New Server Framework for Hadoop RPC,This is a new Server framework for Hadoop RPC which replaces the current Server class.  This new framework uses a reactor model to allow better throughput and better handling of clients.  ,ipc
distcp seems to be broken in 0.16.1,"Starting from 0.16.1 distcp no longer works when running on source between two 0.16.1 installations. It seems to copy okay, but then at the end all copied files are deleted. Log files are empty. The job ends successfully.  BTW. so far, even with 0.16.0, we were unsuccessful to run distcp on the target successfully, except for small amounts of data (< 2 TB).",util
Hadoop DFS to report more replication metrics,"Currently, the namenode and each datanode reports 'blocksreplicatedpersec.'  We'd like to be able to graph pending replications, vs number of under replicated blocks, vs. replications per second, so that we can get a better idea of the replication activity within the DFS. ",metrics
Writable for single byte and double,Implementations of Writable for a single byte and a double.,io
Need to capture the metrics for the network ios generate by dfs reads/writes and map/reduce shuffling  and break them down by racks ,"In order to better understand the relationship between hadoop performance and the network bandwidth, we need to know  what the aggregated traffic data in a cluster and its breakdown by racks. With these data, we can determine whether the network  bandwidth is the bottleneck when certain jobs are running on a cluster. ",metrics
BloomMapFile - fail-fast version of MapFile for sparsely populated key space,"The need for this improvement arose when working with large ancillary MapFile-s (essentially used as external dictionaries). For each invokation of map() / reduce() it was necessary to perform several look-ups in these MapFile-s, and in case of sparsely populated key-space the cost of finding that a key is absent was too high.  This patch implements a subclass of MapFile that creates a Bloom filter from all keys, so that accurate tests for absence of keys can be performed quickly and with 100% accuracy.  Writer.append() operations update a DynamicBloomFilter, which is then serialized when the Writer is closed. This filter is loaded in memory when a Reader is created. Reader.get() operation first checks the filter for the key membership, and if the key is absent it immediately returns null without doing any further IO.",io
